x,y,tuple,type
0,5931.928068,0,mean
0,5931.928068,0,up
0,5931.928068,0,down
1,164624.6426,1,mean
1,164624.6426,1,up
1,164624.6426,1,down
2,320003.4341,2,mean
2,98893803.9,2,up
2,870.4804787,2,down
3,102402.1979,3,mean
3,827702.7462,3,up
3,10570.52081,3,down
4,827038.5873,4,mean
4,47990958.09,4,up
4,11811.06764,4,down
5,622034.4431,5,mean
5,269123542.5,5,up
5,1283.611901,5,down
6,3051.659556,6,mean
6,6850918.361,6,up
6,1.181106764,6,down
7,240681.8267,7,mean
7,977998.445,7,up
7,52831.33271,7,down
8,88808.31049,8,mean
8,88483013.14,8,up
8,67.81492741,8,down
9,13942.15469,9,mean
9,2015337.686,9,up
9,71.68391014,9,down
10,16857.92526,10,mean
10,71626.29116,10,up
10,3683.537201,10,down
11,20383.48091,11,mean
11,17635054.72,11,up
11,18.92816154,11,down
12,181022.2502,12,mean
12,63377100.62,12,up
12,472.8232188,12,down
13,39622.15969,13,mean
13,4152957.512,13,up
13,358.2752993,13,down
14,19438.36774,14,mean
14,827702.7462,14,up
14,423.1613793,14,down
15,32769.05505,15,mean
15,1291549.665,15,up
15,659.5946257,15,down
16,2188.800534,16,mean
16,194919.403,16,up
16,21.14955358,16,down
17,41548.62931,17,mean
17,592852.7789,17,up
17,2791.149716,17,down
18,8270.385873,18,mean
18,379935.7365,18,up
18,147.4601593,18,down
19,25844.6785,19,mean
19,174399.7643,19,up
19,3484.726313,19,down
20,12679.2272,20,mean
20,4907058.732,20,up
20,29.50390616,20,down
21,258.446785,21,mean
21,10224.96513,21,up
21,6.595946257,21,down
22,435.6876584,22,mean
22,14275.43569,22,up
22,12.14331748,22,down
23,126.792272,23,mean
23,6552.772959,23,up
23,2.298506748,23,down
24,86.72500429,24,mean
24,6198.270585,24,up
24,1.117359102,24,down
25,0.0,25,mean
25,0.0,25,up
25,0.0,25,down
26,0.0,26,mean
26,0.0,26,up
26,0.0,26,down
27,0.0,27,mean
27,0.0,27,up
27,0.0,27,down
28,0.0,28,mean
28,0.0,28,up
28,0.0,28,down
29,0.0,29,mean
29,0.0,29,up
29,0.0,29,down